epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,67.1647,1.71162,0.9926,1.20212,0.82922,0.83333,0.81669,0.31841,2.20473,1.06604,1.59783,0.0004754,0.0004754,0.0004754
79,67.991,1.73879,0.95752,1.1851,0.82909,0.83333,0.84587,0.31014,2.24317,1.02928,1.60203,0.0004556,0.0004556,0.0004556
80,68.802,1.8544,0.98796,1.21804,0.82909,0.83333,0.84587,0.31014,2.24317,1.02928,1.60203,0.0004358,0.0004358,0.0004358
81,69.6898,1.72052,0.97447,1.16212,0.87056,0.875,0.86651,0.32224,2.24177,1.00566,1.58271,0.000416,0.000416,0.000416
82,70.6277,1.72491,0.98419,1.19267,0.87056,0.875,0.86651,0.32224,2.24177,1.00566,1.58271,0.0003962,0.0003962,0.0003962
83,71.4657,1.68512,0.95813,1.1889,0.87087,0.875,0.86245,0.32414,2.22659,0.98472,1.59193,0.0003764,0.0003764,0.0003764
84,72.2364,1.6379,0.92884,1.1269,0.87087,0.875,0.86245,0.32414,2.22659,0.98472,1.59193,0.0003566,0.0003566,0.0003566
85,73.1221,1.73807,0.9616,1.16717,0.87122,0.875,0.85391,0.29988,2.2243,0.98614,1.60992,0.0003368,0.0003368,0.0003368
86,73.9453,1.61568,0.87901,1.11445,0.87122,0.875,0.85391,0.29988,2.2243,0.98614,1.60992,0.000317,0.000317,0.000317
87,74.7425,1.75509,0.96639,1.18806,0.82978,0.83333,0.79033,0.28541,2.29691,1.05271,1.6554,0.0002972,0.0002972,0.0002972
88,75.5979,1.76802,0.9552,1.18376,0.82978,0.83333,0.79033,0.28541,2.29691,1.05271,1.6554,0.0002774,0.0002774,0.0002774
89,76.5042,1.65869,1.04685,1.21066,0.82874,0.83333,0.78054,0.26428,2.31728,1.06732,1.66726,0.0002576,0.0002576,0.0002576
90,77.3368,1.74184,0.94123,1.16662,0.82874,0.83333,0.78054,0.26428,2.31728,1.06732,1.66726,0.0002378,0.0002378,0.0002378
91,78.6162,1.59429,1.2168,1.12733,0.82892,0.83333,0.76614,0.27068,2.33771,1.0795,1.68299,0.000218,0.000218,0.000218
92,79.4627,1.58282,1.17374,1.16091,0.82892,0.83333,0.76614,0.27068,2.33771,1.0795,1.68299,0.0001982,0.0001982,0.0001982
93,80.2492,1.54671,1.08637,1.12156,0.82909,0.83333,0.77611,0.26755,2.33034,1.08526,1.67819,0.0001784,0.0001784,0.0001784
94,81.373,1.60042,1.1259,1.17294,0.82909,0.83333,0.77611,0.26755,2.33034,1.08526,1.67819,0.0001586,0.0001586,0.0001586
95,82.3355,1.52154,1.03086,1.14027,0.87078,0.875,0.82599,0.28208,2.32119,1.06944,1.66699,0.0001388,0.0001388,0.0001388
96,83.255,1.63565,1.0546,1.16103,0.87078,0.875,0.82599,0.28208,2.32119,1.06944,1.66699,0.000119,0.000119,0.000119
97,84.0766,1.5579,1.07022,1.1167,0.8711,0.875,0.82696,0.27481,2.32684,1.04756,1.6609,9.92e-05,9.92e-05,9.92e-05
98,84.8571,1.5544,1.04585,1.11301,0.8711,0.875,0.82696,0.27481,2.32684,1.04756,1.6609,7.94e-05,7.94e-05,7.94e-05
99,85.6763,1.4955,0.98316,1.09324,0.87108,0.875,0.82984,0.28226,2.32802,1.04536,1.67225,5.96e-05,5.96e-05,5.96e-05
100,86.5017,1.64179,1.10004,1.15821,0.87108,0.875,0.82984,0.28226,2.32802,1.04536,1.67225,3.98e-05,3.98e-05,3.98e-05
